case_id,candidate_vasp_id,label
001,vasp_001,0
001,vasp_002,1
002,vasp_001,1
002,vasp_002,0
003,vasp_001,0
003,vasp_002,1
004,vasp_001,1
004,vasp_002,1
005,vasp_001,0
005,vasp_002,1
006,vasp_001,0
006,vasp_002,0
007,vasp_001,0
007,vasp_002,1
008,vasp_001,1
008,vasp_002,0
009,vasp_001,1
009,vasp_002,1
010,vasp_001,1
010,vasp_002,0
011,vasp_001,1
011,vasp_002,1
012,vasp_001,0
012,vasp_002,1
013,vasp_001,0
013,vasp_002,0
014,vasp_001,0
014,vasp_002,0
015,vasp_001,0
015,vasp_002,1
016,vasp_001,1
016,vasp_002,1
017,vasp_001,0
017,vasp_002,1
018,vasp_001,1
018,vasp_002,0
019,vasp_001,0
019,vasp_002,0
020,vasp_001,0
020,vasp_002,1
021,vasp_001,1
021,vasp_002,0
022,vasp_001,1
022,vasp_002,0
023,vasp_001,1
023,vasp_002,0
024,vasp_001,0
024,vasp_002,1
025,vasp_001,0
025,vasp_002,1
026,vasp_001,0
026,vasp_002,1
027,vasp_001,0
027,vasp_002,1
028,vasp_001,0
028,vasp_002,1
029,vasp_001,0
029,vasp_002,0
030,vasp_001,0
030,vasp_002,1
031,vasp_001,0
031,vasp_002,1
032,vasp_001,1
032,vasp_002,0
033,vasp_001,1
033,vasp_002,1
034,vasp_001,0
034,vasp_002,1
035,vasp_001,0
035,vasp_002,1
036,vasp_001,1
036,vasp_002,1
037,vasp_001,0
037,vasp_002,0
038,vasp_001,1
038,vasp_002,0
039,vasp_001,0
039,vasp_002,1
040,vasp_001,0
040,vasp_002,1
041,vasp_001,0
041,vasp_002,0
042,vasp_001,0
042,vasp_002,0
043,vasp_001,0
043,vasp_002,1
044,vasp_001,1
044,vasp_002,0
045,vasp_001,1
045,vasp_002,0
046,vasp_001,0
046,vasp_002,1
047,vasp_001,1
047,vasp_002,1
048,vasp_001,0
048,vasp_002,0
049,vasp_001,0
049,vasp_002,0
050,vasp_001,0
050,vasp_002,1
051,vasp_001,0
051,vasp_002,0
052,vasp_001,1
052,vasp_002,1
053,vasp_001,1
053,vasp_002,0
054,vasp_001,0
054,vasp_002,0
055,vasp_001,1
055,vasp_002,1
056,vasp_001,1
056,vasp_002,0
057,vasp_001,0
057,vasp_002,1
058,vasp_001,0
058,vasp_002,1
059,vasp_001,0
059,vasp_002,0
060,vasp_001,1
060,vasp_002,1
